Figure_2A | d_inf (dimensionless),Figure_2A | V (millivolt)
0.00146563,-53.93
0.00146759,-53.92
0.00146954,-53.91
0.0014715,-53.9
0.00147346,-53.89
0.00147542,-53.88
0.00147739,-53.87
0.00147936,-53.86
0.00148133,-53.85
0.0014833,-53.84
0.00148528,-53.83
0.00148726,-53.82
0.00148924,-53.81
0.00149122,-53.8
0.00149321,-53.79
0.0014952,-53.78
0.00149719,-53.77
0.00149919,-53.76
0.00150118,-53.75
0.00150318,-53.74
0.00150518,-53.73
0.00150719,-53.72
0.0015092,-53.71
0.00151121,-53.7
0.00151322,-53.69
0.00151524,-53.68
0.00151726,-53.67
0.00151928,-53.66
0.0015213,-53.65
0.00152333,-53.64
0.00152536,-53.63
0.00152739,-53.62
0.00152942,-53.61
0.00153146,-53.6
0.0015335,-53.59
0.00153554,-53.58
0.00153759,-53.57
0.00153964,-53.56
0.00154169,-53.55
0.00154374,-53.54
0.0015458,-53.53
0.00154786,-53.52
0.00154992,-53.51
0.00155199,-53.5
0.00155405,-53.49
0.00155612,-53.48
0.0015582,-53.47
0.00156027,-53.46
0.00156235,-53.45
0.00156443,-53.44
0.00156652,-53.43
0.0015686,-53.42
0.00157069,-53.41
0.00157278,-53.4
0.00157488,-53.39
0.00157698,-53.38
0.00157908,-53.37
0.00158118,-53.36
0.00158329,-53.35
0.0015854,-53.34
0.00158751,-53.33
0.00158962,-53.32
0.00159174,-53.31
0.00159386,-53.3
0.00159599,-53.29
0.00159811,-53.28
0.00160024,-53.27
0.00160237,-53.26
0.00160451,-53.25
0.00160664,-53.24
0.00160878,-53.23
0.00161093,-53.22
0.00161307,-53.21
0.00161522,-53.2
0.00161737,-53.19
0.00161953,-53.18
0.00162168,-53.17
0.00162384,-53.16
0.00162601,-53.15
0.00162817,-53.14
0.00163034,-53.13
0.00163251,-53.12
0.00163469,-53.11
0.00163687,-53.1
0.00163905,-53.09
0.00164123,-53.08
0.00164342,-53.07
0.00164561,-53.06
0.0016478,-53.05
0.00164999,-53.04
0.00165219,-53.03
0.00165439,-53.02
0.00165659,-53.01
0.0016588,-53
0.00166101,-52.99
0.00166322,-52.98
0.00166544,-52.97
0.00166766,-52.96
0.00166988,-52.95
0.0016721,-52.94
0.00167433,-52.93
0.00167656,-52.92
0.00167879,-52.91
0.00168103,-52.9
0.00168327,-52.89
0.00168551,-52.88
0.00168776,-52.87
0.00169,-52.86
0.00169225,-52.85
0.00169451,-52.84
0.00169677,-52.83
0.00169903,-52.82
0.00170129,-52.81
0.00170355,-52.8
0.00170582,-52.79
0.0017081,-52.78
0.00171037,-52.77
0.00171265,-52.76
0.00171493,-52.75
0.00171721,-52.74
0.0017195,-52.73
0.00172179,-52.72
0.00172408,-52.71
0.00172638,-52.7
0.00172868,-52.69
0.00173098,-52.68
0.00173329,-52.67
0.0017356,-52.66
0.00173791,-52.65
0.00174022,-52.64
0.00174254,-52.63
0.00174486,-52.62
0.00174719,-52.61
0.00174951,-52.6
0.00175184,-52.59
0.00175418,-52.58
0.00175651,-52.57
0.00175885,-52.56
0.00176119,-52.55
0.00176354,-52.54
0.00176589,-52.53
0.00176824,-52.52
0.0017706,-52.51
0.00177295,-52.5
0.00177532,-52.49
0.00177768,-52.48
0.00178005,-52.47
0.00178242,-52.46
0.00178479,-52.45
0.00178717,-52.44
0.00178955,-52.43
0.00179193,-52.42
0.00179432,-52.41
0.00179671,-52.4
0.0017991,-52.39
0.0018015,-52.38
0.0018039,-52.37
0.0018063,-52.36
0.00180871,-52.35
0.00181111,-52.34
0.00181353,-52.33
0.00181594,-52.32
0.00181836,-52.31
0.00182078,-52.3
0.00182321,-52.29
0.00182564,-52.28
0.00182807,-52.27
0.0018305,-52.26
